delete_count,delete_label,delete_ratio,repetition,first_patch,removed_ops,direct_impacted_patch_count,direct_impacted_op_count,direct_saving_rate,direct_max_depth_days,propagated_impacted_patch_count,propagated_impacted_op_count,propagated_saving_rate,propagated_max_depth_days,suffix_op_count,tainted_object_count
1,1,0.00012993762993762994,1,2024-03-24,1,14,150,0.9792874896437448,13,14,3060,0.5774647887323944,13,7242,4429
1,1,0.00012993762993762994,2,2024-03-30,1,8,106,0.9756433823529411,7,8,1919,0.5590533088235294,7,4352,2815
1,1,0.00012993762993762994,3,2024-03-28,1,1,2,0.999633431085044,0,1,2,0.999633431085044,0,5456,4
1,1,0.00012993762993762994,4,2024-04-04,1,1,10,0.9927849927849928,0,3,350,0.7474747474747474,2,1386,558
1,1,0.00012993762993762994,5,2024-03-24,1,14,38,0.9947528307097487,13,14,2946,0.5932062966031483,13,7242,4263
1,1,0.00012993762993762994,6,2024-03-27,1,1,5,0.9991691591890993,0,11,2399,0.6013625789298771,10,6018,3484
1,1,0.00012993762993762994,7,2024-04-05,1,2,10,0.9891304347826086,1,2,221,0.7597826086956522,1,920,341
1,1,0.00012993762993762994,8,2024-03-24,1,1,3,0.9995857497928748,0,14,2980,0.5885114609223971,13,7242,4311
1,1,0.00012993762993762994,9,2024-04-01,1,1,5,0.9986033519553073,0,6,942,0.7368715083798882,5,3580,1392
1,1,0.00012993762993762994,10,2024-04-01,1,1,3,0.9991620111731844,0,6,1595,0.5544692737430168,5,3580,2337
1,1,0.00012993762993762994,11,2024-04-04,1,1,6,0.9956709956709957,0,3,507,0.6341991341991342,2,1386,775
1,1,0.00012993762993762994,12,2024-03-24,1,2,5,0.9993095829881248,1,2,5,0.9993095829881248,1,7242,9
1,1,0.00012993762993762994,13,2024-03-23,1,15,142,0.9817457256716802,14,15,3389,0.5643398894459442,14,7779,4861
1,1,0.00012993762993762994,14,2024-04-04,1,1,11,0.9920634920634921,0,3,241,0.8261183261183261,2,1386,378
1,1,0.00012993762993762994,15,2024-04-06,1,1,3,0.9942748091603053,0,1,4,0.9923664122137404,0,524,8
1,1,0.00012993762993762994,16,2024-03-29,1,1,8,0.9983828582979584,0,9,1801,0.6359409743278754,8,4947,2639
1,1,0.00012993762993762994,17,2024-04-02,1,3,11,0.9961538461538462,3,5,789,0.7241258741258741,4,2860,1184
1,1,0.00012993762993762994,18,2024-03-24,1,2,11,0.9984810825738746,2,14,2822,0.6103286384976525,13,7242,4090
1,1,0.00012993762993762994,19,2024-04-04,1,1,5,0.9963924963924964,0,2,17,0.9877344877344877,2,1386,29
1,1,0.00012993762993762994,20,2024-04-03,1,1,3,0.9985500241662639,0,1,6,0.9971000483325277,0,2069,12
1,1,0.00012993762993762994,21,2024-03-31,1,1,2,0.9994896657310538,0,1,5,0.9987241643276346,0,3919,10
1,1,0.00012993762993762994,22,2024-03-29,1,1,3,0.9993935718617344,0,2,67,0.9864564382454013,8,4947,113
1,1,0.00012993762993762994,23,2024-03-28,1,1,3,0.9994501466275659,0,7,1425,0.7388196480938416,9,5456,2099
1,1,0.00012993762993762994,24,2024-03-28,1,2,6,0.998900293255132,1,10,1966,0.6396627565982405,9,5456,2885
1,1,0.00012993762993762994,25,2024-03-29,1,1,3,0.9993935718617344,0,1,8,0.9983828582979584,0,4947,6
1,1,0.00012993762993762994,26,2024-04-03,1,1,8,0.9961333977767037,0,4,905,0.5625906234896085,3,2069,1332
1,1,0.00012993762993762994,27,2024-04-06,1,1,20,0.9618320610687023,0,1,126,0.7595419847328244,0,524,206
1,1,0.00012993762993762994,28,2024-03-28,1,2,8,0.998533724340176,1,10,1786,0.6726539589442815,9,5456,2614
1,1,0.00012993762993762994,29,2024-04-04,1,3,10,0.9927849927849928,2,3,401,0.7106782106782107,2,1386,605
1,1,0.00012993762993762994,30,2024-03-25,1,12,110,0.9840625905534628,12,13,2778,0.5975079687047233,12,6902,4028
3,3,0.00038981288981288983,1,2024-03-29,3,7,36,0.9927228623408126,8,7,1002,0.7974530018192845,8,4947,1478
3,3,0.00038981288981288983,2,2024-03-28,3,10,127,0.9767228739002932,9,10,2357,0.5679985337243402,9,5456,3433
3,3,0.00038981288981288983,3,2024-03-25,3,13,168,0.975659229208925,12,13,2886,0.5818603303390322,12,6902,4182
3,3,0.00038981288981288983,4,2024-03-27,3,7,48,0.9920239282153539,10,11,2457,0.5917248255234298,10,6018,3578
3,3,0.00038981288981288983,5,2024-03-26,3,12,144,0.9777020749458036,11,12,2694,0.58284298544441,11,6458,3908
3,3,0.00038981288981288983,6,2024-03-23,3,3,4,0.9994857950893431,6,3,4,0.9994857950893431,6,7779,8
3,3,0.00038981288981288983,7,2024-03-28,3,6,23,0.9957844574780058,8,9,1431,0.7377199413489737,9,5456,2099
3,3,0.00038981288981288983,8,2024-03-25,3,4,30,0.995653433787308,10,13,2722,0.605621558968415,12,6902,3961
3,3,0.00038981288981288983,9,2024-03-23,3,15,110,0.9858593649569354,14,15,3214,0.5868363542871835,14,7779,4634
3,3,0.00038981288981288983,10,2024-03-25,3,13,112,0.9837728194726166,12,13,2861,0.5854824688496088,12,6902,4142
3,3,0.00038981288981288983,11,2024-03-23,3,13,68,0.9912585165188328,14,15,3432,0.5588121866563825,14,7779,4930
3,3,0.00038981288981288983,12,2024-03-25,3,6,34,0.9950738916256158,10,13,2861,0.5854824688496088,12,6902,4133
3,3,0.00038981288981288983,13,2024-03-23,3,5,32,0.9958863607147448,7,15,3138,0.5966062475896645,14,7779,4524
3,3,0.00038981288981288983,14,2024-03-28,3,3,15,0.9972507331378299,8,10,2233,0.5907258064516129,9,5456,3255
3,3,0.00038981288981288983,15,2024-03-23,3,6,24,0.9969147705360586,13,14,2746,0.6469983288340404,14,7779,3996
3,3,0.00038981288981288983,16,2024-03-29,3,9,53,0.9892864362239742,8,9,2159,0.563573883161512,8,4947,3158
3,3,0.00038981288981288983,17,2024-03-27,3,10,114,0.9810568295114656,10,11,2674,0.5556663343303423,10,6018,3877
3,3,0.00038981288981288983,18,2024-03-30,3,8,97,0.9777113970588235,7,8,1970,0.5473345588235294,7,4352,2880
3,3,0.00038981288981288983,19,2024-03-23,3,12,65,0.9916441702018254,14,15,3488,0.551613317907186,14,7779,5010
3,3,0.00038981288981288983,20,2024-03-28,3,10,102,0.9813049853372434,9,10,1823,0.6658724340175953,9,5456,2665
3,3,0.00038981288981288983,21,2024-03-27,3,11,149,0.9752409438351611,10,11,2590,0.569624459953473,10,6018,3774
3,3,0.00038981288981288983,22,2024-03-26,3,4,16,0.997522452771756,9,12,2639,0.5913595540414989,11,6458,3845
3,3,0.00038981288981288983,23,2024-03-29,3,9,185,0.9626035981402871,8,9,2025,0.5906610066707095,8,4947,2971
3,3,0.00038981288981288983,24,2024-03-24,3,14,158,0.9781828224247445,13,14,3111,0.5704225352112676,13,7242,4491
3,3,0.00038981288981288983,25,2024-03-23,3,5,15,0.9980717315850366,12,15,3164,0.5932639156703947,14,7779,4560
3,3,0.00038981288981288983,26,2024-03-23,3,15,129,0.9834168916313151,14,15,3428,0.5593263915670394,14,7779,4899
3,3,0.00038981288981288983,27,2024-03-25,3,13,234,0.9660967835410026,12,13,2915,0.5776586496667633,12,6902,4228
3,3,0.00038981288981288983,28,2024-03-23,3,8,44,0.9943437459827741,14,15,3187,0.5903072374341175,14,7779,4582
