qa_type,setting,questions,rule_score,full_answer_rate
single,no_retrieval,330,0.26360544217687076,0.15454545454545454
single,semantic_k3,330,0.5799319727891157,0.45454545454545453
single,semantic_k5,330,0.6190476190476191,0.47575757575757577
single,semantic_k10,330,0.6496598639455783,0.5181818181818182
single,graphrag,330,0.7125850340136054,0.6151515151515151
single,pnk_kg_only,330,0.7465986394557823,0.6545454545454545
single,pnk_kg_source,330,0.814625850340136,0.7363636363636363
intra,no_retrieval,369,0.3168261114237479,0.05420054200542006
intra,semantic_k3,369,0.6229600450196962,0.2682926829268293
intra,semantic_k5,369,0.6657287563308948,0.2981029810298103
intra,semantic_k10,369,0.6933033202025887,0.3143631436314363
intra,graphrag,369,0.7371975239167136,0.3983739837398374
intra,pnk_kg_only,369,0.7456387169386607,0.38482384823848237
intra,pnk_kg_source,369,0.839054586381542,0.5663956639566395
multi,no_retrieval,101,0.23518164435946462,0.039603960396039604
multi,semantic_k3,101,0.42065009560229444,0.0594059405940594
multi,semantic_k5,101,0.51434034416826,0.12871287128712872
multi,semantic_k10,101,0.5506692160611855,0.19801980198019803
multi,graphrag,101,0.6443594646271511,0.19801980198019803
multi,pnk_kg_only,101,0.7552581261950286,0.297029702970297
multi,pnk_kg_source,101,0.7533460803059273,0.3069306930693069
